CDK2,,JNK1,,TYK2,,p38,,hif2a,,syk,
#,Ligand,#,Ligand,#,Ligand,#,Ligand,#,Ligand,#,Ligand
m01,30,m29,18629,m01,31,m2n,2n,m01,338,m01,CHEMBL3264999
m02,28,m34,18634,m02,30,mlz,3flz,m02,43,m02,CHEMBL3265014
m03,1oiy,m28,18628,m03,50,m2h,2h,m03,235,m03,CHEMBL3265034
m04,1oi9,m60,18660,m04,46,m2s,2s,m04,234,m04,CHEMBL3265015
m05,32,m24,18624,m05,55,mbb,2bb,m05,30,m05,CHEMBL3265036
m06,1oiu,m33,18633,m06,43,m2q,2q,m06,1,m06,CHEMBL3265020
m07,29,m35,18635,m07,28,m2z,2z,m07,237,m07,CHEMBL3265023
m08,1h1r,m74,17124,m08,49,mmh,3fmh,m08,227,m08,CHEMBL3265002
m09,21,m25,18625,m09,45,m2f,2f,m09,266,m09,CHEMBL3265033
m10,26,m59,18659,m10,44,m2v,2v,m10,206,m10,CHEMBL3265027
m11,1h1s,m37,18637,m11,27,mln,3fln,m11,67,m11,CHEMBL3265028
m12,31,m38,18638,m12,48,m2t,2t,m12,156,m12,CHEMBL3264997
m13,20,m52,18652,m13,47,m2r,2r,m13,31,m13,CHEMBL3264996
m14,22,m27,18627,m14,23,mly,3fly,m14,289,m14,CHEMBL3264994
m15,17,m58,18658,m15,42,m2u,2u,m15,61,m15,CHEMBL3264995
m16,1h1q,m30,18630,m16,54,m2l,2l,m16,167,m16,CHEMBL3265032
,,m39,18639,,,maa,2aa,m17,165,m17,CHEMBL3265031
,,m31,18631,,,mgg,2gg,m18,41,m18,CHEMBL3265037
,,m32,18632,,,m2k,2k,m19,7b,m19,CHEMBL3265026
,,m36,18636,,,mlq,3flq,m20,54,m20,CHEMBL3265012
,,m26,18626,,,m2p,2p,m21,215,m21,CHEMBL3265003
,,,,,,mmk,3fmk,m22,57,m22,CHEMBL3264998
,,,,,,m2j,2j,m23,42,m23,CHEMBL3265029
,,,,,,m2g,2g,m24,35,m24,CHEMBL3265035
,,,,,,m2c,2c,m25,252,m25,CHEMBL3265024
,,,,,,m2x,2x,m26,336,m26,CHEMBL3265018
,,,,,,mlw,3flw,m27,290,m27,CHEMBL3265008
,,,,,,m2e,2e,m28,155,m28,CHEMBL3265016
,,,,,,mee,2ee,m29,164,m29,CHEMBL3265025
,,,,,,m2y,2y,m30,7a,m30,CHEMBL3265013
,,,,,,m2i,2i,m31,224,m31,CHEMBL3259820
,,,,,,m2o,2o,m32,84,m32,CHEMBL3265001
,,,,,,mff,2ff,m33,254,m33,CHEMBL3265006
,,,,,,m2m,2m,m34,23,m34,CHEMBL3265030_n
,,,,,,,,m35,251,m35,CHEMBL3265022
,,,,,,,,m36,256,m36,CHEMBL3265019
,,,,,,,,m37,50,m37,CHEMBL3265004
,,,,,,,,m38,231,m38,CHEMBL3265009
,,,,,,,,m39,15,m39,CHEMBL3265021
,,,,,,,,m40,124,m40,CHEMBL3265011
,,,,,,,,m41,25,m41,CHEMBL3265005
,,,,,,,,m42,163,m42,CHEMBL3265017
,,,,,,,,,,m43,CHEMBL3265000
,,,,,,,,,,m44,CHEMBL3265010
